date,event_1,event_2
1419-01-02,عیدنوروز,
1419-01-03,عیدنوروز,شهادت امام حسن عسکری علیه السلام
1419-01-04,عیدنوروز,
1419-01-12,روز جمهوری اسلامی,میلاد رسول اکرم و امام جعفر صادق علیه السلام
1419-01-13,جشن سیزده به در,
1419-03-14,رحلت حضرت امام خمینی,
1419-03-15,قیام 15 خرداد,
1419-03-25,شهادت حضرت فاطمه زهرا سلام الله علیها,
1419-05-02,ولادت امام علی علیه السلام و روز پدر,
1419-05-16,مبعث رسول اکرم (ص),
1419-06-03,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان,
1419-07-07,شهادت حضرت علی علیه السلام,
1419-07-17,عید سعید فطر,
1419-07-18,تعطیل به مناسبت عید سعید فطر,
1419-08-11,شهادت امام جعفر صادق علیه السلام,
1419-09-25,عید سعید قربان,
1419-10-03,عید سعید غدیر خم,
1419-10-24,تاسوعای حسینی,
1419-10-25,عاشورای حسینی,
1419-11-22,پیروزی انقلاب اسلامی,
1419-12-04,اربعین حسینی,
1419-12-12,رحلت  رسول اکرم؛شهادت امام حسن مجتبی علیه السلام,
1419-12-14,شهادت امام رضا علیه السلام,
1419-12-22,شهادت امام حسن عسکری علیه السلام,
1419-12-29,روز ملی شدن صنعت نفت ایران,
1420-01-01,جشن نوروز/جشن سال نو,
1420-01-02,عیدنوروز,میلاد رسول اکرم و امام جعفر صادق علیه السلام
1420-01-03,عیدنوروز,
1420-01-04,عیدنوروز,
1420-01-12,روز جمهوری اسلامی,
1420-01-13,جشن سیزده به در,
1420-03-14,رحلت حضرت امام خمینی,شهادت حضرت فاطمه زهرا سلام الله علیها
1420-03-15,قیام 15 خرداد,
1420-04-22,ولادت امام علی علیه السلام و روز پدر,
1420-05-05,مبعث رسول اکرم (ص),
1420-05-23,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان,
1420-06-28,شهادت حضرت علی علیه السلام,
1420-07-06,عید سعید فطر,
1420-07-07,تعطیل به مناسبت عید سعید فطر,
1420-07-30,شهادت امام جعفر صادق علیه السلام,
1420-09-15,عید سعید قربان,
1420-09-23,عید سعید غدیر خم,
1420-10-13,تاسوعای حسینی,
1420-10-14,عاشورای حسینی,
1420-11-22,پیروزی انقلاب اسلامی,
1420-11-24,اربعین حسینی,
1420-12-02,رحلت  رسول اکرم؛شهادت امام حسن مجتبی علیه السلام,
1420-12-11,شهادت امام حسن عسکری علیه السلام,
1420-12-20,میلاد رسول اکرم و امام جعفر صادق علیه السلام,
1420-12-29,روز ملی شدن صنعت نفت ایران,
1420-12-30,آخرین روز سال,
1421-01-01,جشن نوروز/جشن سال نو,
1421-01-02,عیدنوروز,
1421-01-03,عیدنوروز,
1421-01-04,عیدنوروز,
1421-01-12,روز جمهوری اسلامی,
